Compound;dH298;S298;a;b;c;d;T(Cp);Cp,298;mp;bp
LiF;-616,9;35,7;43,28;16,73;-0,57;0,0;1121;;1121;1975
KF;-568,6;66,5;47,36;13,26;-0,20;0,0;1119;;1119;1788
NaF;-573,6;51,3;45,05;16,04;-0,26;0,0;1269;;1269;2075
ZrF4;-1911,3;104,7;117,40;16,74;-1,72;0,0;1178;;;1178
TiF4;-1649,3;134,0;123,31;36,24;-1,77;0,0;558;;;558
HfF4;-1930,5;113,0;120,72;15,79;-2,22;0,0;1235;;;1235
Na2O;-415,1;75,1;76,74;20,09;-1,26;0,0;1023;;1405;
K2O;-363,2;94,1;76,94;36,66;-0,30;0,0;1154;;;
K2SiO3;-1590,3;146,1;135,65;24,48;-2,16;0,0;1249;;1249;
Na2SiO3;-1556,0;133,8;130,29;40,17;-2,71;0,0;1362;;1362;
Li2SiO3;-1649,5;80,3;118,78;41,25;-2,72;0,0;1474;;1474;
Li2TiO3;-1671,7;91,8;143,39;13,22;-3,35;0,0;1485;;1809;
Na2TiO2;-1537,1;213,9;108,58;71,13;0,00;0,0;1303;;;
Na2ZrO2;-1654,9;125,5;;;;;;124,76;;
TiO2;-941,4;49,9;76,36;0,84;-2,01;0,0;1949;;1949;
ZrO2;-1100,6;50,4;70,12;7,02;-1,42;0,0;1478;;2950;
SiO2;-910,9;41,5;40,50;44,60;-0,83;0,0;847;;1823;
K2SiF6;-2956,0;226,0;;;;;;;;
Li2O;-598,0;37,6;69,79;17,66;-1,85;0,0;1843;;1843;
Li2ZrO3;-1762,3;91,6;132,13;32,97;-2,82;0,0;1883;;1883;
